ProductKey,ProductSubcategoryKey,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductStyle,ProductCost,ProductPrice,SKU Type,Discount Price,Price Point,SKU Category
362,1,BK-M68B-46,"Mountain-200 Black, 46",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,U,"? 1,105.81","? 2,049.10",BK-M68B,"? 1,844.19",High,BK
364,1,BK-M47B-38,"Mountain-300 Black, 38",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,? 598.44,"? 1,079.99",BK-M47B,? 971.99,High,BK
365,1,BK-M47B-40,"Mountain-300 Black, 40",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,? 598.44,"? 1,079.99",BK-M47B,? 971.99,High,BK
366,1,BK-M47B-44,"Mountain-300 Black, 44",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,? 598.44,"? 1,079.99",BK-M47B,? 971.99,High,BK
367,1,BK-M47B-48,"Mountain-300 Black, 48",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,? 598.44,"? 1,079.99",BK-M47B,? 971.99,High,BK
373,2,BK-R89B-44,"Road-250 Black, 44",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,"? 1,320.68","? 2,181.56",BK-R89B,"? 1,963.41",High,BK
375,2,BK-R89B-48,"Road-250 Black, 48",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,"? 1,320.68","? 2,181.56",BK-R89B,"? 1,963.41",High,BK
377,2,BK-R89B-52,"Road-250 Black, 52",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,"? 1,320.68","? 2,181.56",BK-R89B,"? 1,963.41",High,BK
379,2,BK-R89B-58,"Road-250 Black, 58",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,"? 1,320.68","? 2,181.56",BK-R89B,"? 1,963.41",High,BK
409,12,FR-M63B-38,"ML Mountain Frame - Black, 38",ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,Black,U,? 185.82,? 348.76,FR-M63B,? 313.88,Mid-Range,FR
410,17,FW-M423,LL Mountain Front Wheel,LL Mountain Front Wheel,Replacement mountain wheel for entry-level rider.,Black,NA,? 26.97,? 60.75,FW-M423,? 54.67,Low,FW
411,17,FW-M762,ML Mountain Front Wheel,ML Mountain Front Wheel,Replacement mountain wheel for the casual to serious rider.,Black,NA,? 92.81,? 209.03,FW-M762,? 188.12,Mid-Range,FW
412,17,FW-M928,HL Mountain Front Wheel,HL Mountain Front Wheel,High-performance mountain replacement wheel.,Black,NA,? 133.30,? 300.22,FW-M928,? 270.19,Mid-Range,FW
413,17,FW-R623,LL Road Front Wheel,LL Road Front Wheel,Replacement road front wheel for entry-level cyclist.,Black,NA,? 37.99,? 85.57,FW-R623,? 77.01,Low,FW
414,17,FW-R762,ML Road Front Wheel,ML Road Front Wheel,Sturdy alloy features a quick-release hub.,Black,NA,? 110.28,? 248.39,FW-R762,? 223.55,Mid-Range,FW
415,17,FW-R820,HL Road Front Wheel,HL Road Front Wheel,Strong wheel with double-walled rim.,Black,NA,? 146.55,? 330.06,FW-R820,? 297.05,Mid-Range,FW
416,17,FW-T905,Touring Front Wheel,Touring Front Wheel,Aerodynamic rims for smooth riding.,Black,NA,? 96.80,? 218.01,FW-T905,? 196.21,Mid-Range,FW
419,17,RW-M423,LL Mountain Rear Wheel,LL Mountain Rear Wheel,Replacement mountain wheel for entry-level rider.,Black,NA,? 38.96,? 87.75,RW-M423,? 78.97,Low,RW
420,17,RW-M762,ML Mountain Rear Wheel,ML Mountain Rear Wheel,Replacement mountain wheel for the casual to serious rider.,Black,NA,? 104.80,? 236.03,RW-M762,? 212.42,Mid-Range,RW
421,17,RW-M928,HL Mountain Rear Wheel,HL Mountain Rear Wheel,High-performance mountain replacement wheel.,Black,NA,? 145.28,? 327.22,RW-M928,? 294.49,Mid-Range,RW
422,17,RW-R623,LL Road Rear Wheel,LL Road Rear Wheel,Replacement road rear wheel for entry-level cyclist.,Black,NA,? 49.98,? 112.57,RW-R623,? 101.31,Mid-Range,RW
423,17,RW-R762,ML Road Rear Wheel,ML Road Rear Wheel,Aluminum alloy rim with stainless steel spokes; built for speed.,Black,NA,? 122.27,? 275.39,RW-R762,? 247.85,Mid-Range,RW
424,17,RW-R820,HL Road Rear Wheel,HL Road Rear Wheel,Strong rear wheel with double-walled rim.,Black,NA,? 158.53,? 357.06,RW-R820,? 321.35,Mid-Range,RW
425,17,RW-T905,Touring Rear Wheel,Touring Rear Wheel,Excellent aerodynamic rims guarantee a smooth ride.,Black,NA,? 108.78,? 245.01,RW-T905,? 220.51,Mid-Range,RW
426,12,FR-M63B-40,"ML Mountain Frame - Black, 40",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,U,? 185.82,? 348.76,FR-M63B,? 313.88,Mid-Range,FR
427,12,FR-M63B-44,"ML Mountain Frame - Black, 44",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,U,? 185.82,? 348.76,FR-M63B,? 313.88,Mid-Range,FR
428,12,FR-M63B-48,"ML Mountain Frame - Black, 48",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,U,? 185.82,? 348.76,FR-M63B,? 313.88,Mid-Range,FR
437,14,FR-R92B-62,"HL Road Frame - Black, 62",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,U,? 722.26,"? 1,301.36",FR-R92B,"? 1,171.23",High,FR
439,14,FR-R92B-44,"HL Road Frame - Black, 44",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,U,? 722.26,"? 1,301.36",FR-R92B,"? 1,171.23",High,FR
441,14,FR-R92B-48,"HL Road Frame - Black, 48",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,U,? 722.26,"? 1,301.36",FR-R92B,"? 1,171.23",High,FR
443,14,FR-R92B-52,"HL Road Frame - Black, 52",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,U,? 722.26,"? 1,301.36",FR-R92B,"? 1,171.23",High,FR
445,22,SH-M897-S,"Men's Sports Shorts, S",Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Black,M,? 24.75,? 59.99,SH-M897,? 53.99,Low,SH
453,22,SH-M897-M,"Men's Sports Shorts, M",Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Black,M,? 24.75,? 59.99,SH-M897,? 53.99,Low,SH
454,22,SH-M897-L,"Men's Sports Shorts, L",Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Black,M,? 24.75,? 59.99,SH-M897,? 53.99,Low,SH
455,22,SH-M897-X,"Men's Sports Shorts, XL",Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Black,M,? 24.75,? 59.99,SH-M897,? 53.99,Low,SH
456,24,TG-W091-S,"Women's Tights, S",Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,Black,W,? 30.93,? 74.99,TG-W091,? 67.49,Low,TG
457,24,TG-W091-M,"Women's Tights, M",Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,Black,W,? 30.93,? 74.99,TG-W091,? 67.49,Low,TG
458,24,TG-W091-L,"Women's Tights, L",Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,Black,W,? 30.93,? 74.99,TG-W091,? 67.49,Low,TG
462,20,GL-H102-S,"Half-Finger Gloves, S",Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",Black,U,? 9.71,? 23.55,GL-H102,? 21.19,Low,GL
464,20,GL-H102-M,"Half-Finger Gloves, M",Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",Black,U,? 9.71,? 23.55,GL-H102,? 21.19,Low,GL
466,20,GL-H102-L,"Half-Finger Gloves, L",Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",Black,U,? 9.71,? 23.55,GL-H102,? 21.19,Low,GL
468,20,GL-F110-S,"Full-Finger Gloves, S",Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",Black,U,? 15.67,? 37.99,GL-F110,? 34.19,Low,GL
469,20,GL-F110-M,"Full-Finger Gloves, M",Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",Black,U,? 15.67,? 37.99,GL-F110,? 34.19,Low,GL
470,20,GL-F110-L,"Full-Finger Gloves, L",Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",Black,U,? 15.67,? 37.99,GL-F110,? 34.19,Low,GL
474,22,SH-W890-S,"Women's Mountain Shorts, S",Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",Black,W,? 26.18,? 69.99,SH-W890,? 62.99,Low,SH
475,22,SH-W890-M,"Women's Mountain Shorts, M",Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",Black,W,? 26.18,? 69.99,SH-W890,? 62.99,Low,SH
476,22,SH-W890-L,"Women's Mountain Shorts, L",Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",Black,W,? 26.18,? 69.99,SH-W890,? 62.99,Low,SH
531,12,FR-M21B-42,"LL Mountain Frame - Black, 42",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Black,U,? 136.79,? 249.79,FR-M21B,? 224.81,Mid-Range,FR
532,12,FR-M21B-44,"LL Mountain Frame - Black, 44",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Black,U,? 136.79,? 249.79,FR-M21B,? 224.81,Mid-Range,FR
533,12,FR-M21B-48,"LL Mountain Frame - Black, 48",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Black,U,? 136.79,? 249.79,FR-M21B,? 224.81,Mid-Range,FR
534,12,FR-M21B-52,"LL Mountain Frame - Black, 52",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Black,U,? 136.79,? 249.79,FR-M21B,? 224.81,Mid-Range,FR
550,12,FR-M21B-40,"LL Mountain Frame - Black, 40",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Black,U,? 136.79,? 249.79,FR-M21B,? 224.81,Mid-Range,FR
556,8,CS-4759,LL Crankset,LL Crankset,Super rigid spindle.,Black,NA,? 77.92,? 175.49,CS-4759,? 157.94,Mid-Range,CS
557,8,CS-6583,ML Crankset,ML Crankset,High-strength crank arm.,Black,NA,? 113.88,? 256.49,CS-6583,? 230.84,Mid-Range,CS
558,8,CS-9183,HL Crankset,HL Crankset,Triple crankset; alumunim crank arm; flawless shifting.,Black,NA,? 179.82,? 404.99,CS-9183,? 364.49,Mid-Range,CS
584,2,BK-R19B-58,"Road-750 Black, 58",Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,Black,U,? 343.65,? 539.99,BK-R19B,? 485.99,High,BK
596,1,BK-M18B-40,"Mountain-500 Black, 40",Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",Black,U,? 294.58,? 539.99,BK-M18B,? 485.99,High,BK
597,1,BK-M18B-42,"Mountain-500 Black, 42",Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",Black,U,? 294.58,? 539.99,BK-M18B,? 485.99,High,BK
598,1,BK-M18B-44,"Mountain-500 Black, 44",Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",Black,U,? 294.58,? 539.99,BK-M18B,? 485.99,High,BK
599,1,BK-M18B-48,"Mountain-500 Black, 48",Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",Black,U,? 294.58,? 539.99,BK-M18B,? 485.99,High,BK
600,1,BK-M18B-52,"Mountain-500 Black, 52",Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",Black,U,? 294.58,? 539.99,BK-M18B,? 485.99,High,BK
604,2,BK-R19B-44,"Road-750 Black, 44",Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,Black,U,? 343.65,? 539.99,BK-R19B,? 485.99,High,BK
605,2,BK-R19B-48,"Road-750 Black, 48",Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,Black,U,? 343.65,? 539.99,BK-R19B,? 485.99,High,BK
606,2,BK-R19B-52,"Road-750 Black, 52",Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,Black,U,? 343.65,? 539.99,BK-R19B,? 485.99,High,BK
214,31,HL-U509-R,"Sport-100 Helmet, Red",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Red,NA,? 13.09,? 34.99,HL-U509,? 31.49,Low,HL
220,31,HL-U509-B,"Sport-100 Helmet, Blue",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Blue,NA,? 12.03,? 33.64,HL-U509,? 30.28,Low,HL
381,2,BK-R64Y-38,"Road-550-W Yellow, 38",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,? 605.65,"? 1,000.44",BK-R64Y,? 900.39,High,BK
383,2,BK-R64Y-40,"Road-550-W Yellow, 40",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,? 605.65,"? 1,000.44",BK-R64Y,? 900.39,High,BK
385,2,BK-R64Y-42,"Road-550-W Yellow, 42",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,? 605.65,"? 1,000.44",BK-R64Y,? 900.39,High,BK
387,2,BK-R64Y-44,"Road-550-W Yellow, 44",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,? 605.65,"? 1,000.44",BK-R64Y,? 900.39,High,BK
389,2,BK-R64Y-48,"Road-550-W Yellow, 48",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,? 605.65,"? 1,000.44",BK-R64Y,? 900.39,High,BK
391,10,FK-1639,LL Fork,LL Fork,Stout design absorbs shock and offers more precise steering.,NA,NA,? 65.81,? 148.22,FK-1639,? 133.40,Mid-Range,FK
392,10,FK-5136,ML Fork,ML Fork,Composite road fork with an aluminum steerer tube.,NA,NA,? 77.92,? 175.49,FK-5136,? 157.94,Mid-Range,FK
393,10,FK-9939,HL Fork,HL Fork,High-performance carbon road fork with curved legs.,NA,NA,? 101.89,? 229.49,FK-9939,? 206.54,Mid-Range,FK
394,11,HS-0296,LL Headset,LL Headset,Threadless headset provides quality at an economical price.,NA,NA,? 15.18,? 34.20,HS-0296,? 30.78,Low,HS
395,11,HS-2451,ML Headset,ML Headset,Sealed cartridge keeps dirt out.,NA,NA,? 45.42,? 102.29,HS-2451,? 92.06,Mid-Range,HS
396,11,HS-3479,HL Headset,HL Headset,"High-quality 1"" threadless headset with a grease port for quick lubrication.",NA,NA,? 55.38,? 124.73,HS-3479,? 112.26,Mid-Range,HS
397,4,HB-M243,LL Mountain Handlebars,LL Mountain Handlebars,All-purpose bar for on or off-road.,NA,NA,? 17.98,? 40.49,HB-M243,? 36.44,Low,HB
399,4,HB-M763,ML Mountain Handlebars,ML Mountain Handlebars,Tough aluminum alloy bars for downhill.,NA,NA,? 24.99,? 56.29,HB-M763,? 50.66,Low,HB
401,4,HB-M918,HL Mountain Handlebars,HL Mountain Handlebars,Flat bar strong enough for the pro circuit.,NA,NA,? 48.55,? 109.34,HB-M918,? 98.40,Mid-Range,HB
403,4,HB-R504,LL Road Handlebars,LL Road Handlebars,Unique shape provides easier reach to the levers.,NA,NA,? 17.98,? 40.49,HB-R504,? 36.44,Low,HB
405,4,HB-R720,ML Road Handlebars,ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.,NA,NA,? 24.99,? 56.29,HB-R720,? 50.66,Low,HB
407,4,HB-R956,HL Road Handlebars,HL Road Handlebars,Designed for racers; high-end anatomically shaped bar from aluminum alloy.,NA,NA,? 48.55,? 109.34,HB-R956,? 98.40,Mid-Range,HB
417,14,FR-R72Y-38,"ML Road Frame-W - Yellow, 38",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,? 300.12,? 540.75,FR-R72Y,? 486.68,High,FR
429,14,FR-R72Y-40,"ML Road Frame-W - Yellow, 40",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,? 300.12,? 540.75,FR-R72Y,? 486.68,High,FR
431,14,FR-R72Y-42,"ML Road Frame-W - Yellow, 42",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,? 300.12,? 540.75,FR-R72Y,? 486.68,High,FR
433,14,FR-R72Y-44,"ML Road Frame-W - Yellow, 44",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,? 300.12,? 540.75,FR-R72Y,? 486.68,High,FR
435,14,FR-R72Y-48,"ML Road Frame-W - Yellow, 48",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,? 300.12,? 540.75,FR-R72Y,? 486.68,High,FR
446,35,PA-T100,"Touring-Panniers, Large",Touring-Panniers,"Durable, water-proof nylon construction with easy access. Large enough for weekend trips.",Grey,NA,? 51.56,? 125.00,PA-T100,? 112.50,Mid-Range,PA
447,34,LO-C100,Cable Lock,Cable Lock,"Wraps to fit front and rear tires, carrier and 2 keys included.",NA,NA,? 10.31,? 25.00,LO-C100,? 22.50,Low,LO
448,36,PU-0452,Minipump,Minipump,Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.,NA,NA,? 8.25,? 19.99,PU-0452,? 17.99,Low,PU
449,36,PU-M044,Mountain Pump,Mountain Pump,Simple and light-weight. Emergency patches stored in handle.,NA,NA,? 10.31,? 24.99,PU-M044,? 22.49,Low,PU
450,33,LT-T990,Taillights - Battery-Powered,Taillight,Affordable light for safe night riding - uses 3 AAA batteries,NA,NA,? 5.77,? 13.99,LT-T990,? 12.59,Low,LT
451,33,LT-H902,Headlights - Dual-Beam,Headlights - Dual-Beam,Rechargeable dual-beam headlight.,NA,NA,? 14.43,? 34.99,LT-H902,? 31.49,Low,LT
452,33,LT-H903,Headlights - Weatherproof,Headlights - Weatherproof,Rugged weatherproof headlight.,NA,NA,? 18.56,? 44.99,LT-H903,? 40.49,Low,LT
459,18,SB-M891-S,"Men's Bib-Shorts, S",Men's Bib-Shorts,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",Multi,M,? 37.12,? 89.99,SB-M891,? 80.99,Low,SB
460,18,SB-M891-M,"Men's Bib-Shorts, M",Men's Bib-Shorts,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",Multi,M,? 37.12,? 89.99,SB-M891,? 80.99,Low,SB
461,18,SB-M891-L,"Men's Bib-Shorts, L",Men's Bib-Shorts,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",Multi,M,? 37.12,? 89.99,SB-M891,? 80.99,Low,SB
477,28,WB-H098,Water Bottle - 30 oz.,Water Bottle,AWC logo water bottle - holds 30 oz; leak-proof.,NA,NA,? 1.87,? 4.99,WB-H098,? 4.49,Low,WB
478,28,BC-M005,Mountain Bottle Cage,Mountain Bottle Cage,Tough aluminum cage holds bottle securly on tough terrain.,NA,NA,? 3.74,? 9.99,BC-M005,? 8.99,Low,BC
479,28,BC-R205,Road Bottle Cage,Road Bottle Cage,Aluminum cage is lighter than our mountain version; perfect for long distance trips.,NA,NA,? 3.36,? 8.99,BC-R205,? 8.09,Low,BC
